Acceleration,Cylinders,Displacement,Horsepower,Model_Year,Weight,Origin,MPG
12,8,307,130,70,3504,USA    ,18
11.5,8,350,165,70,3693,USA    ,15
11,8,318,150,70,3436,USA    ,18
12,8,304,150,70,3433,USA    ,16
10.5,8,302,140,70,3449,USA    ,17
10,8,429,198,70,4341,USA    ,15
9,8,454,220,70,4354,USA    ,14
8.5,8,440,215,70,4312,USA    ,14
10,8,455,225,70,4425,USA    ,14
8.5,8,390,190,70,3850,USA    ,15
17.5,4,133,115,70,3090,France ,0
11.5,8,350,165,70,4142,USA    ,0
11,8,351,153,70,4034,USA    ,0
10.5,8,383,175,70,4166,USA    ,0
11,8,360,175,70,3850,USA    ,0
10,8,383,170,70,3563,USA    ,15
8,8,340,160,70,3609,USA    ,14
8,8,302,140,70,3353,USA    ,0
9.5,8,400,150,70,3761,USA    ,15
10,8,455,225,70,3086,USA    ,14
15,4,113,95,70,2372,Japan  ,24
15.5,6,198,95,70,2833,USA    ,22
15.5,6,199,97,70,2774,USA    ,18
16,6,200,85,70,2587,USA    ,21
14.5,4,97,88,70,2130,Japan  ,27
20.5,4,97,46,70,1835,Germany,26
17.5,4,110,87,70,2672,France ,25
14.5,4,107,90,70,2430,Germany,24
17.5,4,104,95,70,2375,Sweden ,25
12.5,4,121,113,70,2234,Germany,26
15,6,199,90,70,2648,USA    ,21
14,8,360,215,70,4615,USA    ,10
15,8,307,200,70,4376,USA    ,10
13.5,8,318,210,70,4382,USA    ,11
18.5,8,304,193,70,4732,USA    ,9
14.5,4,97,88,71,2130,Japan  ,27
15.5,4,140,90,71,2264,USA    ,28
14,4,113,95,71,2228,Japan  ,25
19,4,98,0,71,2046,USA    ,25
20,4,97,48,71,1978,Germany,0
13,6,232,100,71,2634,USA    ,19
15.5,6,225,105,71,3439,USA    ,16
15.5,6,250,100,71,3329,USA    ,17
15.5,6,250,88,71,3302,USA    ,19
15.5,6,232,100,71,3288,USA    ,18
12,8,350,165,71,4209,USA    ,14
11.5,8,400,175,71,4464,USA    ,14
13.5,8,351,153,71,4154,USA    ,14
13,8,318,150,71,4096,USA    ,14
11.5,8,383,180,71,4955,USA    ,12
12,8,400,170,71,4746,USA    ,13
12,8,400,175,71,5140,USA    ,13
13.5,6,258,110,71,2962,USA    ,18
19,4,140,72,71,2408,USA    ,22
15,6,250,100,71,3282,USA    ,19
14.5,6,250,88,71,3139,USA    ,18
14,4,122,86,71,2220,USA    ,23
14,4,116,90,71,2123,Germany,28
19.5,4,79,70,71,2074,France ,30
14.5,4,88,76,71,2065,Italy  ,30
19,4,71,65,71,1773,Japan  ,31
18,4,72,69,71,1613,Japan  ,35
19,4,97,60,71,1834,Germany,27
20.5,4,91,70,71,1955,USA    ,26
15.5,4,113,95,72,2278,Japan  ,24
17,4,97.5,80,72,2126,USA    ,25
23.5,4,97,54,72,2254,Germany,23
19.5,4,140,90,72,2408,USA    ,20
16.5,4,122,86,72,2226,USA    ,21
12,8,350,165,72,4274,USA    ,13
12,8,400,175,72,4385,USA    ,14
13.5,8,318,150,72,4135,USA    ,15
13,8,351,153,72,4129,USA    ,14
11.5,8,304,150,72,3672,USA    ,17
11,8,429,208,72,4633,USA    ,11
13.5,8,350,155,72,4502,USA    ,13
13.5,8,350,160,72,4456,USA    ,12
12.5,8,400,190,72,4422,USA    ,13
13.5,3,70,97,72,2330,Japan  ,19
12.5,8,304,150,72,3892,USA    ,15
14,8,307,130,72,4098,USA    ,13
16,8,302,140,72,4294,USA    ,13
14,8,318,150,72,4077,USA    ,14
14.5,4,121,112,72,2933,Sweden ,18
18,4,121,76,72,2511,Germany,22
19.5,4,120,87,72,2979,France ,21
18,4,96,69,72,2189,France ,26
16,4,122,86,72,2395,USA    ,22
17,4,97,92,72,2288,Japan  ,28
14.5,4,120,97,72,2506,Japan  ,23
15,4,98,80,72,2164,USA    ,28
16.5,4,97,88,72,2100,Japan  ,27
13,8,350,175,73,4100,USA    ,13
11.5,8,304,150,73,3672,USA    ,14
13,8,350,145,73,3988,USA    ,13
14.5,8,302,137,73,4042,USA    ,14
12.5,8,318,150,73,3777,USA    ,15
11.5,8,429,198,73,4952,USA    ,12
12,8,400,150,73,4464,USA    ,13
13,8,351,158,73,4363,USA    ,13
14.5,8,318,150,73,4237,USA    ,14
11,8,440,215,73,4735,USA    ,13
11,8,455,225,73,4951,USA    ,12
11,8,360,175,73,3821,USA    ,13
16.5,6,225,105,73,3121,USA    ,18
18,6,250,100,73,3278,USA    ,16
16,6,232,100,73,2945,USA    ,18
16.5,6,250,88,73,3021,USA    ,18
16,6,198,95,73,2904,USA    ,23
21,4,97,46,73,1950,Germany,26
14,8,400,150,73,4997,USA    ,11
12.5,8,400,167,73,4906,USA    ,12
13,8,360,170,73,4654,USA    ,13
12.5,8,350,180,73,4499,USA    ,12
15,6,232,100,73,2789,USA    ,18
19,4,97,88,73,2279,Japan  ,20
19.5,4,140,72,73,2401,USA    ,21
16.5,4,108,94,73,2379,Japan  ,22
13.5,3,70,90,73,2124,Japan  ,18
18.5,4,122,85,73,2310,USA    ,19
14,6,155,107,73,2472,USA    ,21
15.5,4,98,90,73,2265,Italy  ,26
13,8,350,145,73,4082,USA    ,15
9.5,8,400,230,73,4278,USA    ,16
19.5,4,68,49,73,1867,Italy  ,29
15.5,4,116,75,73,2158,Germany,24
14,4,114,91,73,2582,Germany,20
15.5,4,121,112,73,2868,Sweden ,19
11,8,318,150,73,3399,USA    ,15
14,4,121,110,73,2660,Sweden ,24
13.5,6,156,122,73,2807,Japan  ,20
11,8,350,180,73,3664,USA    ,11
16.5,6,198,95,74,3102,USA    ,20
17,6,200,0,74,2875,USA    ,21
16,6,232,100,74,2901,USA    ,19
17,6,250,100,74,3336,USA    ,15
19,4,79,67,74,1950,Japan  ,31
16.5,4,122,80,74,2451,USA    ,26
21,4,71,65,74,1836,Japan  ,32
17,4,140,75,74,2542,USA    ,25
17,6,250,100,74,3781,USA    ,16
18,6,258,110,74,3632,USA    ,16
16.5,6,225,105,74,3613,USA    ,18
14,8,302,140,74,4141,USA    ,16
14.5,8,350,150,74,4699,USA    ,13
13.5,8,318,150,74,4457,USA    ,14
16,8,302,140,74,4638,USA    ,14
15.5,8,304,150,74,4257,USA    ,14
16.5,4,98,83,74,2219,Germany,29
15.5,4,79,67,74,1963,Germany,26
14.5,4,97,78,74,2300,Germany,26
16.5,4,76,52,74,1649,Japan  ,31
19,4,83,61,74,2003,Japan  ,32
14.5,4,90,75,74,2125,USA    ,28
15.5,4,90,75,74,2108,Italy  ,24
14,4,116,75,74,2246,Italy  ,26
15,4,120,97,74,2489,Japan  ,24
15.5,4,108,93,74,2391,Japan  ,26
16,4,79,67,74,2000,Italy  ,31
16,6,225,95,75,3264,USA    ,19
16,6,250,105,75,3459,USA    ,18
21,6,250,72,75,3432,USA    ,15
19.5,6,250,72,75,3158,USA    ,15
11.5,8,400,170,75,4668,USA    ,16
14,8,350,145,75,4440,USA    ,15
14.5,8,318,150,75,4498,USA    ,16
13.5,8,351,148,75,4657,USA    ,14
21,6,231,110,75,3907,USA    ,17
18.5,6,250,105,75,3897,USA    ,16
19,6,258,110,75,3730,USA    ,15
19,6,225,95,75,3785,USA    ,18
15,6,231,110,75,3039,USA    ,21
13.5,8,262,110,75,3221,USA    ,20
12,8,302,129,75,3169,USA    ,13
16,4,97,75,75,2171,Japan  ,29
17,4,140,83,75,2639,USA    ,23
16,6,232,100,75,2914,USA    ,20
18.5,4,140,78,75,2592,USA    ,23
13.5,4,134,96,75,2702,Japan  ,24
16.5,4,90,71,75,2223,Germany,25
17,4,119,97,75,2545,Japan  ,24
14.5,6,171,97,75,2984,USA    ,18
14,4,90,70,75,1937,Germany,29
17,6,232,90,75,3211,USA    ,19
15,4,115,95,75,2694,Germany,23
17,4,120,88,75,2957,France ,23
14.5,4,121,98,75,2945,Sweden ,22
13.5,4,121,115,75,2671,Sweden ,25
17.5,4,91,53,75,1795,Japan  ,33
15.5,4,107,86,76,2464,Italy  ,28
16.9,4,116,81,76,2220,Germany,25
14.9,4,140,92,76,2572,USA    ,25
17.7,4,98,79,76,2255,USA    ,26
15.3,4,101,83,76,2202,France ,27
13,8,305,140,76,4215,USA    ,17.5
13,8,318,150,76,4190,USA    ,16
13.9,8,304,120,76,3962,USA    ,15.5
12.8,8,351,152,76,4215,USA    ,14.5
15.4,6,225,100,76,3233,USA    ,22
14.5,6,250,105,76,3353,USA    ,22
17.6,6,200,81,76,3012,USA    ,24
17.6,6,232,90,76,3085,USA    ,22.5
22.2,4,85,52,76,2035,USA    ,29
22.1,4,98,60,76,2164,USA    ,24.5
14.2,4,90,70,76,1937,Germany,29
17.4,4,91,53,76,1795,Japan  ,33
17.7,6,225,100,76,3651,USA    ,20
21,6,250,78,76,3574,USA    ,18
16.2,6,250,110,76,3645,USA    ,18.5
17.8,6,258,95,76,3193,USA    ,17.5
12.2,4,97,71,76,1825,Germany,29.5
17,4,85,70,76,1990,Japan  ,32
16.4,4,97,75,76,2155,Japan  ,28
13.6,4,140,72,76,2565,USA    ,26.5
15.7,4,130,102,76,3150,Sweden ,20
13.2,8,318,150,76,3940,USA    ,13
21.9,4,120,88,76,3270,France ,19
15.5,6,156,108,76,2930,Japan  ,19
16.7,6,168,120,76,3820,Germany,16.5
12.1,8,350,180,76,4380,USA    ,16.5
12,8,350,145,76,4055,USA    ,13
15,8,302,130,76,3870,USA    ,13
14,8,318,150,76,3755,USA    ,13
18.5,4,98,68,77,2045,Japan  ,31.5
14.8,4,111,80,77,2155,USA    ,30
18.6,4,79,58,77,1825,France ,36
15.5,4,122,96,77,2300,USA    ,25.5
16.8,4,85,70,77,1945,Japan  ,33.5
12.5,8,305,145,77,3880,USA    ,17.5
19,8,260,110,77,4060,USA    ,17
13.7,8,318,145,77,4140,USA    ,15.5
14.9,8,302,130,77,4295,USA    ,15
16.4,6,250,110,77,3520,USA    ,17.5
16.9,6,231,105,77,3425,USA    ,20.5
17.7,6,225,100,77,3630,USA    ,19
19,6,250,98,77,3525,USA    ,18.5
11.1,8,400,180,77,4220,USA    ,16
11.4,8,350,170,77,4165,USA    ,15.5
12.2,8,400,190,77,4325,USA    ,15.5
14.5,8,351,149,77,4335,USA    ,16
14.5,4,97,78,77,1940,Germany,29
16,4,151,88,77,2740,USA    ,24.5
18.2,4,97,75,77,2265,Japan  ,26
15.8,4,140,89,77,2755,USA    ,25.5
17,4,98,63,77,2051,USA    ,30.5
15.9,4,98,83,77,2075,USA    ,33.5
16.4,4,97,67,77,1985,Japan  ,30
14.1,4,97,78,77,2190,Germany,30.5
14.5,6,146,97,77,2815,Japan  ,22
12.8,4,121,110,77,2600,Germany,21.5
13.5,3,80,110,77,2720,Japan  ,21.5
21.5,4,90,48,78,1985,Germany,43.1
14.4,4,98,66,78,1800,USA    ,36.1
19.4,4,78,52,78,1985,Japan  ,32.8
18.6,4,85,70,78,2070,Japan  ,39.4
16.4,4,91,60,78,1800,Japan  ,36.1
15.5,8,260,110,78,3365,USA    ,19.9
13.2,8,318,140,78,3735,USA    ,19.4
12.8,8,302,139,78,3570,USA    ,20.2
19.2,6,231,105,78,3535,USA    ,19.2
18.2,6,200,95,78,3155,USA    ,20.5
15.8,6,200,85,78,2965,USA    ,20.2
15.4,4,140,88,78,2720,USA    ,25.1
17.2,6,225,100,78,3430,USA    ,20.5
17.2,6,232,90,78,3210,USA    ,19.4
15.8,6,231,105,78,3380,USA    ,20.6
16.7,6,200,85,78,3070,USA    ,20.8
18.7,6,225,110,78,3620,USA    ,18.6
15.1,6,258,120,78,3410,USA    ,18.1
13.2,8,305,145,78,3425,USA    ,19.2
13.4,6,231,165,78,3445,USA    ,17.7
11.2,8,302,139,78,3205,USA    ,18.1
13.7,8,318,140,78,4080,USA    ,17.5
16.5,4,98,68,78,2155,USA    ,30
14.2,4,134,95,78,2560,Japan  ,27.5
14.7,4,119,97,78,2300,Japan  ,27.2
14.5,4,105,75,78,2230,USA    ,30.9
14.8,4,134,95,78,2515,Japan  ,21.1
16.7,4,156,105,78,2745,USA    ,23.2
17.6,4,151,85,78,2855,USA    ,23.8
14.9,4,119,97,78,2405,Japan  ,23.9
15.9,5,131,103,78,2830,Germany,20.3
13.6,6,163,125,78,3140,Sweden ,17
15.7,4,121,115,78,2795,Sweden ,21.6
15.8,6,163,133,78,3410,France ,16.2
14.9,4,89,71,78,1990,Germany,31.5
16.6,4,98,68,78,2135,Japan  ,29.5
15.4,6,231,115,79,3245,USA    ,21.5
18.2,6,200,85,79,2990,USA    ,19.8
17.3,4,140,88,79,2890,USA    ,22.3
18.2,6,232,90,79,3265,USA    ,20.2
16.6,6,225,110,79,3360,USA    ,20.6
15.4,8,305,130,79,3840,USA    ,17
13.4,8,302,129,79,3725,USA    ,17.6
13.2,8,351,138,79,3955,USA    ,16.5
15.2,8,318,135,79,3830,USA    ,18.2
14.9,8,350,155,79,4360,USA    ,16.9
14.3,8,351,142,79,4054,USA    ,15.5
15,8,267,125,79,3605,USA    ,19.2
13,8,360,150,79,3940,USA    ,18.5
14,4,89,71,79,1925,Germany,31.9
15.2,4,86,65,79,1975,Japan  ,34.1
14.4,4,98,80,79,1915,USA    ,35.7
15,4,121,80,79,2670,USA    ,27.4
20.1,5,183,77,79,3530,Germany,25.4
17.4,8,350,125,79,3900,USA    ,23
24.8,4,141,71,79,3190,France ,27.2
22.2,8,260,90,79,3420,USA    ,23.9
13.2,4,105,70,79,2200,USA    ,34.2
14.9,4,105,70,79,2150,USA    ,34.5
19.2,4,85,65,79,2020,Japan  ,31.8
14.7,4,91,69,79,2130,Italy  ,37.3
16,4,151,90,79,2670,USA    ,28.4
11.3,6,173,115,79,2595,USA    ,28.8
12.9,6,173,115,79,2700,USA    ,26.8
13.2,4,151,90,79,2556,USA    ,33.5
14.7,4,98,76,80,2144,Germany,41.5
18.8,4,89,60,80,1968,Japan  ,38.1
15.5,4,98,70,80,2120,USA    ,32.1
16.4,4,86,65,80,2019,Japan  ,37.2
16.5,4,151,90,80,2678,USA    ,28
18.1,4,140,88,80,2870,USA    ,26.4
20.1,4,151,90,80,3003,USA    ,24.3
18.7,6,225,90,80,3381,USA    ,19.1
15.8,4,97,78,80,2188,Germany,34.3
15.5,4,134,90,80,2711,Japan  ,29.8
17.5,4,120,75,80,2542,Japan  ,31.3
15,4,119,92,80,2434,Japan  ,37
15.2,4,108,75,80,2265,Japan  ,32.2
17.9,4,86,65,80,2110,Japan  ,46.6
14.4,4,156,105,80,2800,USA    ,27.9
19.2,4,85,65,80,2110,Japan  ,40.8
21.7,4,90,48,80,2085,Germany,44.3
23.7,4,90,48,80,2335,Germany,43.4
19.9,5,121,67,80,2950,Germany,36.4
21.8,4,146,67,80,3250,Germany,30
13.8,4,91,67,80,1850,Japan  ,44.6
17.3,4,85,0,80,1835,France ,40.9
18,4,97,67,80,2145,Japan  ,33.8
15.3,4,89,62,80,1845,Germany,29.8
11.4,6,168,132,80,2910,Japan  ,32.7
12.5,3,70,100,80,2420,Japan  ,23.7
15.1,4,122,88,80,2500,England,35
14.3,4,140,0,80,2905,USA    ,23.6
17,4,107,72,80,2290,Japan  ,32.4
15.7,4,135,84,81,2490,USA    ,27.2
16.4,4,151,84,81,2635,USA    ,26.6
14.4,4,156,92,81,2620,USA    ,25.8
12.6,6,173,110,81,2725,USA    ,23.5
12.9,4,135,84,81,2385,USA    ,30
16.9,4,79,58,81,1755,Japan  ,39.1
16.4,4,86,64,81,1875,USA    ,39
16.1,4,81,60,81,1760,Japan  ,35.1
17.8,4,97,67,81,2065,Japan  ,32.3
19.4,4,85,65,81,1975,Japan  ,37
17.3,4,89,62,81,2050,Japan  ,37.7
16,4,91,68,81,1985,Japan  ,34.1
14.9,4,105,63,81,2215,USA    ,34.7
16.2,4,98,65,81,2045,USA    ,34.4
20.7,4,98,65,81,2380,USA    ,29.9
14.2,4,105,74,81,2190,Germany,33
15.8,4,100,0,81,2320,France ,34.5
14.4,4,107,75,81,2210,Japan  ,33.7
16.8,4,108,75,81,2350,Japan  ,32.4
14.8,4,119,100,81,2615,Japan  ,32.9
18.3,4,120,74,81,2635,Japan  ,31.6
20.4,4,141,80,81,3230,France ,28.1
15.4,4,121,110,81,2800,Sweden ,0
19.6,6,145,76,81,3160,Sweden ,30.7
12.6,6,168,116,81,2900,Japan  ,25.4
13.8,6,146,120,81,2930,Japan  ,24.2
15.8,6,231,110,81,3415,USA    ,22.4
19,8,350,105,81,3725,USA    ,26.6
17.1,6,200,88,81,3060,USA    ,20.2
16.6,6,225,85,81,3465,USA    ,17.6
19.6,4,112,88,82,2605,USA    ,28
18.6,4,112,88,82,2640,USA    ,27
18,4,112,88,82,2395,USA    ,34
16.2,4,112,85,82,2575,USA    ,31
16,4,135,84,82,2525,USA    ,29
18,4,151,90,82,2735,USA    ,27
16.4,4,140,92,82,2865,USA    ,24
20.5,4,151,0,82,3035,USA    ,23
15.3,4,105,74,82,1980,Germany,36
18.2,4,91,68,82,2025,Japan  ,37
17.6,4,91,68,82,1970,Japan  ,31
14.7,4,105,63,82,2125,USA    ,38
17.3,4,98,70,82,2125,USA    ,36
14.5,4,120,88,82,2160,Japan  ,36
14.5,4,107,75,82,2205,Japan  ,36
16.9,4,108,70,82,2245,Japan  ,34
15,4,91,67,82,1965,Japan  ,38
15.7,4,91,67,82,1965,Japan  ,32
16.2,4,91,67,82,1995,Japan  ,38
16.4,6,181,110,82,2945,USA    ,25
17,6,262,85,82,3015,USA    ,38
14.5,4,156,92,82,2585,USA    ,26
14.7,6,232,112,82,2835,USA    ,22
13.9,4,144,96,82,2665,Japan  ,32
13,4,135,84,82,2370,USA    ,36
17.3,4,151,90,82,2950,USA    ,27
15.6,4,140,86,82,2790,USA    ,27
24.6,4,97,52,82,2130,Germany,44
11.6,4,135,84,82,2295,USA    ,32
18.6,4,120,79,82,2625,USA    ,28
19.4,4,119,82,82,2720,USA    ,31
